prop_boro_block_lot,condo_section,address,district,bld_class,n_units,year_built,gross_sqft,gross_income,gross_incm_sqft,full_market_value,market_value_sqft,comp_boro_block_lot,comp_address,comp_neighborhood,comp_classification,comp_n_units,comp_year_built,comp_gross_sqft,comp_gross_income,comp_gross_income_sqft,comp_full_market_value,comp_market_value_sqft,comp_dist_from_coop,comp2_boro_block_lot,comp2_address,comp2_neighborhood,comp2_classification,comp2_n_units,comp2_year_built,comp2_gross_sqft,comp2_gross_income,comp2_income_sqft,comp2_full_market_value,comp2_market_value_sqft,comp2_dist_from_coop,property_id
1-00007-7501,735-R1,1 COENTIES SLIP,FINANCIAL,R9-CONDOPS,42,1920,36500,1277500,35,5950000,163,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.45,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.4,1
1-00008-7501,1822-R1,39 WHITEHALL STREET,FINANCIAL,R4-ELEVATOR,78,1985,126420,5688900,45,27900000,221,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.9,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,1.05,2
1-00015-7502,1557-R1,20 WEST STREET,FINANCIAL,R4-ELEVATOR,282,1930,249076,10212116,41,50100001,201,1-00042-0001,100 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,342,1930,290116,12283000,42.3,60300000,208,0.45,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.4,3
1-00016-7501,308-R1,377 RECTOR PLACE,TRIBECA,R4-ELEVATOR,239,1985,219495,8779800,40,43100005,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,4
1-00016-7502,313-R1,320 ALBANY STREET,TRIBECA,R4-ELEVATOR,133,1986,139719,5588760,40,27399999,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,5
1-00016-7503,385-R1,250 SOUTH END AVENUE,TRIBECA,R4-ELEVATOR,109,1985,105000,4200000,40,20600009,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,6
1-00016-7504,360-R1,300 ALBANY STREET,TRIBECA,R4-ELEVATOR,107,1986,87479,3499160,40,17199989,197,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,7
1-00016-7505,371-R1,380 RECTOR PLACE,TRIBECA,R4-ELEVATOR,247,1987,255845,10233800,40,50200004,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,8
1-00016-7506,398-R1,280 RECTOR PLACE,TRIBECA,R4-ELEVATOR,121,1985,106129,4245160,40,20800003,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,9
1-00016-7507,450-R1,300 RECTOR PLACE,TRIBECA,R4-ELEVATOR,154,1986,126008,5040320,40,24700011,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0,10
