,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,XOM
2007-10-29,40.43,185.09,40.56,114.8,64.98,34.57,73.7,93.61
2007-10-30,39.37,187.0,40.48,114.12,64.82,35.57,73.84,91.14
2007-10-31,39.59,189.95,41.16,116.12,65.17,36.81,73.72,91.99
2007-11-01,37.9,187.44,40.34,113.65,64.66,37.06,72.39,88.5
2007-11-02,38.56,187.87,40.33,114.59,64.78,37.06,72.98,87.93
2007-11-05,37.9,186.18,40.2,113.4,64.49,36.73,72.76,87.66
2007-11-06,38.57,191.79,40.18,113.17,64.61,36.41,73.49,90.38
2007-11-07,37.4,186.3,39.08,111.08,63.91,35.52,72.34,87.2
2007-11-08,37.66,175.47,39.02,106.11,64.59,34.74,73.5,89.42
2007-11-09,37.09,165.37,38.38,100.25,65.16,33.73,73.48,86.85
2007-11-12,35.87,153.76,38.25,101.45,66.31,33.38,72.57,84.54
2007-11-13,36.63,169.96,39.21,105.27,67.31,34.46,73.34,86.88
2007-11-14,36.86,166.11,39.01,103.44,66.89,33.93,74.06,86.31
2007-11-15,36.33,164.3,38.31,103.6,66.88,33.76,73.58,84.49
2007-11-16,36.31,166.39,38.65,104.79,67.75,34.09,74.15,85.1
2007-11-19,35.07,163.95,38.16,102.22,67.59,33.96,75.08,84.11
2007-11-20,35.38,168.85,38.04,103.42,67.64,34.58,74.84,87.82
2007-11-21,35.17,168.46,37.17,102.22,67.14,34.23,75.04,87.04
2007-11-23,35.15,171.54,37.67,104.05,66.88,34.11,75.51,88.29
2007-11-26,34.88,172.54,36.73,101.97,67.37,32.97,74.69,85.68
2007-11-27,35.04,174.81,37.45,103.83,67.73,33.06,75.92,86.38
2007-11-28,36.21,180.22,38.46,107.37,68.35,33.7,77.16,87.92
2007-11-29,36.55,184.29,38.14,107.5,68.4,33.59,76.54,88.59
2007-11-30,36.37,182.22,38.29,105.18,67.74,33.6,77.18,89.16
2007-12-03,35.49,178.86,36.93,105.83,67.71,32.92,76.58,88.85
2007-12-04,35.25,179.81,36.25,106.63,67.94,32.77,76.65,88.12
2007-12-05,35.61,185.5,36.71,108.16,68.21,34.15,76.27,89.92
2007-12-06,35.86,189.95,37.26,109.7,68.3,34.55,77.03,91.44
2007-12-07,36.91,194.3,37.23,108.86,67.68,34.53,77.0,91.5
2007-12-10,37.85,194.21,37.41,109.39,67.79,34.76,77.28,92.03
2007-12-11,36.13,188.54,37.03,106.99,67.55,34.1,76.48,90.28
2007-12-12,36.88,190.86,37.25,108.47,67.7,34.47,78.09,91.92
2007-12-13,36.33,191.83,37.58,108.18,67.87,35.22,78.69,92.72
2007-12-14,35.19,190.39,36.91,105.77,67.59,35.31,78.46,91.18
2007-12-17,33.9,184.4,36.48,104.53,67.55,34.39,77.37,89.89
2007-12-18,34.4,182.98,36.8,106.31,67.71,34.74,77.02,91.42
2007-12-19,34.49,183.12,36.57,107.14,67.32,34.79,76.79,91.43
2007-12-20,35.39,187.21,36.52,108.84,67.33,35.52,76.49,92.13
2007-12-21,36.35,193.91,37.14,111.05,68.03,36.06,77.35,93.43
2007-12-24,37.01,198.8,37.53,111.65,67.87,36.58,77.71,93.66
2007-12-26,37.41,198.95,37.55,111.56,67.56,36.61,77.28,94.81
2007-12-27,36.99,198.57,37.19,109.6,67.33,35.97,76.7,93.67
2007-12-28,36.86,199.83,37.34,110.09,67.38,36.12,77.03,95.0
2007-12-31,36.55,198.08,37.07,108.1,66.7,35.6,75.9,93.69
2008-01-02,36.13,194.84,36.76,104.69,65.91,35.22,75.29,93.51
2008-01-03,36.19,194.93,36.8,104.9,65.93,35.37,75.78,93.83
2008-01-04,34.87,180.05,36.04,101.13,65.84,34.38,75.55,92.08
2008-01-07,33.11,177.64,36.18,100.05,66.86,34.61,77.32,91.22
2008-01-08,31.0,171.25,35.4,97.59,66.94,33.45,77.94,90.05
2008-01-09,31.25,179.4,35.8,98.31,67.8,34.44,78.74,91.56
2008-01-10,31.44,178.02,35.92,99.92,67.91,34.33,79.57,91.66
2008-01-11,31.73,172.69,35.17,97.67,67.88,33.91,77.78,90.3
2008-01-14,32.9,178.78,35.46,102.93,67.95,34.39,76.92,90.83
2008-01-15,31.19,169.04,34.53,101.83,67.76,34.0,74.83,89.02
2008-01-16,30.63,159.64,34.56,101.63,68.31,33.23,73.54,86.53
2008-01-17,28.79,160.89,33.21,101.1,67.83,33.11,72.1,83.91
2008-01-18,29.1,161.36,34.31,103.4,66.29,33.01,71.46,85.08
2008-01-22,28.79,155.64,34.05,101.22,65.27,31.96,69.44,82.45
2008-01-23,29.19,139.07,34.59,106.1,64.2,31.93,70.5,83.45
2008-01-24,30.81,135.6,34.65,106.91,63.51,33.25,69.73,86.0
2008-01-25,30.69,130.01,34.0,104.52,62.46,32.94,68.92,83.94
2008-01-28,31.47,130.01,34.72,104.98,63.07,32.72,70.27,85.13
2008-01-29,32.66,131.54,34.76,106.1,62.97,32.6,68.63,85.08
2008-01-30,32.7,132.18,34.94,105.65,62.18,32.2,67.39,85.28
2008-01-31,33.09,135.36,35.36,107.11,63.14,32.6,68.05,85.7
2008-02-01,34.28,133.75,36.16,109.08,63.36,30.45,68.83,85.95
2008-02-04,34.08,131.65,35.37,107.93,63.47,30.19,69.22,85.44
2008-02-05,32.67,129.36,34.21,105.02,62.87,29.07,67.95,82.11
2008-02-06,32.41,122.0,34.2,103.59,63.05,28.52,66.73,81.44
2008-02-07,32.78,121.24,34.23,102.34,62.81,28.12,70.41,81.89
2008-02-08,33.76,125.48,33.84,103.27,62.03,28.56,69.81,81.71
2008-02-11,34.06,129.45,34.01,105.14,61.88,28.21,70.96,83.22
2008-02-12,33.49,124.86,34.37,106.53,62.97,28.34,71.96,84.38
2008-02-13,35.51,129.4,34.98,108.42,63.41,28.96,71.63,85.49
2008-02-14,35.36,127.46,34.39,106.13,62.79,28.5,71.57,85.55
2008-02-15,35.72,124.63,34.37,106.16,62.9,28.42,71.73,85.37
2008-02-19,36.2,122.18,34.28,105.0,63.66,28.17,71.14,87.01
2008-02-20,36.83,123.82,34.36,107.85,63.23,28.22,71.12,88.1
2008-02-21,36.3,121.54,33.69,106.93,62.98,28.1,71.08,86.92
2008-02-22,36.55,119.46,33.55,108.07,63.18,27.68,71.38,87.17
2008-02-25,38.85,119.74,34.21,110.08,63.85,27.84,71.59,89.13
2008-02-26,38.5,119.15,33.94,114.38,63.72,28.38,71.33,89.89
2008-02-27,39.02,122.96,34.02,116.46,63.04,28.26,71.2,89.39
2008-02-28,39.12,129.91,33.85,115.24,62.71,27.93,71.06,89.38
