,Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
1,01/28/2014,NISS,4D,,GRY,S810708,IL,10300 S. Doty,(773) 568-8495 ,2728654
2,01/28/2014,VOLK,4D,,GRN,N922698,IL,10300 S. Doty,(773) 568-8495 ,2728653
3,01/28/2014,JEEP,LL,,,706VKR,WI,701 N. Sacramento,(773) 265-7605,6773103
4,01/28/2014,NISS,4T,,,X917934,IL,701 N. Sacramento,(773) 265-7605,6773100
5,01/28/2014,MERZ,4T,,,R459010,IL,701 N. Sacramento,(773) 265-7605,6773101
6,01/28/2014,NISS,4T,,GRY,S442582,IL,701 N. Sacramento,(773) 265-7605,6773102
7,01/28/2014,GMC,LL,,BLK,P338296,IL,10300 S. Doty,(773) 568-8495 ,2728631
8,01/28/2014,CHRY,4D,,BLU,VVN64H,NJ,400 E. Lower Wacker,(312) 744-7550,900213
9,01/28/2014,CHEV,2D,,WHI,S978264,IL,10300 S. Doty,(773) 568-8495 ,2728634
10,01/28/2014,NISS,4D,,BLU,P869131,IL,10300 S. Doty,(773) 568-8495 ,2728633
11,01/28/2014,KIA,4D,,BGE,224APS,IN,10300 S. Doty,(773) 568-8495 ,2728629
12,01/28/2014,DODG,LL,TK,BLK,993P433,IL,10300 S. Doty,(773) 568-8495 ,2728630
13,01/28/2014,CHEV,4D,,RED,X330703,IL,10300 S. Doty,(773) 568-8495 ,2728632
14,01/28/2014,CADI,4D,,BLK,P357520,IL,701 N. Sacramento,(773) 265-7605,6773073
15,01/28/2014,MITS,LL,TK,WHI,R176535,IL,701 N. Sacramento,(773) 265-7605,6773075
16,01/28/2014,CHEV,4D,,GRY,949P490,IL,701 N. Sacramento,(773) 265-7605,6773099
17,01/28/2014,BUIC,4D,,BLK,6941981,IL,701 N. Sacramento,(773) 265-7605,6773098
18,01/28/2014,SUBA,SW,,BLU,L870720,IL,701 N. Sacramento,(773) 265-7605,6773097
19,01/28/2014,CADI,4D,,BLK,1329378,IL,701 N. Sacramento,(773) 265-7605,6773091
20,01/28/2014,TOYT,4T,,GRY,L556735,IL,701 N. Sacramento,(773) 265-7605,6773092
21,01/28/2014,VOLK,4T,,BLK,S258225,IL,701 N. Sacramento,(773) 265-7605,6773093
22,01/28/2014,CHEV,4D,,BLK,S187797,IL,701 N. Sacramento,(773) 265-7605,6773094
23,01/28/2014,CHEV,4D,,GRY,P480154,IL,701 N. Sacramento,(773) 265-7605,6773095
24,01/28/2014,JEEP,LL,,WHI,HS1037,IL,701 N. Sacramento,(773) 265-7605,6773096
25,01/28/2014,TOYT,4T,,WHI,N574091,IL,701 N. Sacramento,(773) 265-7605,6773067
26,01/28/2014,HOND,4T,,BLK,L448160,IL,701 N. Sacramento,(773) 265-7605,6773069
27,01/28/2014,PONT,2D,,WHI,N937209,IL,701 N. Sacramento,(773) 265-7605,6773071
28,01/28/2014,JEEP,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6773068
29,01/28/2014,ACUR,2D,,GRY,S857330,IL,701 N. Sacramento,(773) 265-7605,6773072
30,01/28/2014,FORD,4D,,BLK,S622581,IL,701 N. Sacramento,(773) 265-7605,6773057
